Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-11-01 10:52:43,false,"Greene County Running","3.77","234","0:24","161","174","3.9","190","206","6:13","4:37","7","15","1.36","0.0","4,456","No","00:04:48.1","4","00:23:21","00:23:27","1,050","1,069"
Running,2025-11-01 10:41:37,false,"Greene County Running","0.29","16","0:03","139","155","0.7","180","196","6:55","5:44","--","8","1.29","0.0","370","No","00:02:00.2","1","00:01:55","00:02:00.2","1,060","1,068"
Running,2025-11-01 10:03:37,false,"Greene County Running","1.53","103","0:13","155","172","2.3","184","197","8:22","7:40","--","10","1.04","0.0","2,386","No","00:04:19.5","2","00:11:44","00:13:26","1,050","1,070"
Running,2025-10-31 14:54:24,false,"Greene County Running","3.90","251","0:32","159","176","3.1","181","199","7:59","4:23","14","21","1.11","0.0","5,718","No","00:06:51.7","4","00:30:43","00:45:48","1,050","1,069"
Running,2025-10-30 07:19:57,false,"Pittsburgh Running","4.44","295","0:39","144","175","2.9","165","205","8:45","4:17","124","116","1.12","0.0","6,558","No","00:00:38.1","19","00:35:33","01:00:18","1,022","1,056"
Running,2025-10-28 07:18:41,false,"Pittsburgh Running","5.63","365","0:43","151","178","3.7","178","202","7:30","4:39","218","214","1.20","0.0","7,582","No","00:00:08.0","16","00:39:56","01:07:35","1,018","1,056"
Running,2025-10-27 07:02:35,false,"Pittsburgh Running","6.21","382","0:54","148","168","3.0","181","206","8:38","4:04","181","174","1.03","0.0","9,892","No","00:02:07.6","7","00:52:11","01:18:57","709","866"
Walking,2025-10-26 07:29:22,false,"Robinson Walking","7.02","463","0:58","151","176","3.5","188","208","8:08","4:39","229","218","1.05","0.0","10,854","No","00:00:08.7","8","00:56:52","01:04:45","749","875"
Walking,2025-10-25 17:18:10,false,"West Mifflin Walking","0.02","1","0:01","92","95","0.0","92","118","29:29","16:04","--","--","0.59","0.0","56","No","00:00:30.9","1","00:00:23","00:00:30.9","919","919"
Running,2025-10-25 12:11:18,false,"Pittsburgh Running","4.54","284","0:40","144","171","2.8","181","198","8:37","6:43","162","163","1.03","0.0","7,214","No","00:04:45.6","5","00:38:33","00:47:00","709","847"
Running,2025-10-24 15:23:00,false,"Pittsburgh Running","5.39","337","0:43","147","182","3.5","163","205","7:51","4:26","169","166","1.20","0.0","7,178","No","00:01:50.7","10","00:37:19","01:10:00","1,022","1,056"
Running,2025-10-21 14:23:31,false,"Pittsburgh Running","6.78","427","1:02","143","192","3.2","136","207","9:07","4:29","274","270","1.26","0.0","8,892","No","00:01:10.1","19","00:46:01","01:25:32","1,019","1,056"
Running,2025-10-20 15:26:06,false,"McCandless Running","5.04","327","0:39","164","176","3.4","188","196","7:33","6:32","105","106","1.14","0.0","7,150","No","00:00:16.5","6","00:37:59","00:38:16","959","1,017"
Running,2025-10-19 10:39:55,false,"Pine Running","8.02","545","1:05","167","184","3.9","186","194","8:00","7:06","176","178","1.08","0.0","11,960","No","00:00:07.3","9","01:03:52","01:06:08","960","1,044"
Running,2025-10-18 19:11:10,false,"McCandless Running","3.01","194","0:27","140","165","2.5","181","192","8:50","5:50","221","230","1.01","0.0","4,858","No","00:00:07.4","4","00:26:15","00:28:00","1,161","1,245"
Running,2025-10-17 10:32:06,false,"Albemarle County Running","0.79","47","0:08","119","146","0.8","172","196","9:24","7:18","31","30","1.00","0.0","1,316","No","00:07:27.5","1","00:07:18","00:20:48","481","522"
Running,2025-10-17 09:29:53,false,"Albemarle County Running","3.75","233","0:24","159","192","3.8","189","218","6:21","4:20","136","168","1.34","0.0","4,476","No","00:04:50.8","4","00:23:44","00:23:49","461","521"
Running,2025-10-17 09:15:54,false,"Albemarle County Running","0.28","15","0:02","121","136","0.5","182","200","6:50","5:57","--","--","1.29","0.0","356","No","00:01:54.7","1","00:01:54","00:02:00.1","509","522"
Running,2025-10-17 08:44:18,false,"Albemarle County Running","1.16","78","0:10","159","180","2.1","184","192","8:32","7:59","41","42","1.03","0.0","1,840","No","00:01:23.1","2","00:09:49","00:09:54.7","466","521"
Running,2025-10-16 14:56:41,false,"Albemarle County Running","3.89","259","0:32","162","178","3.1","182","207","8:08","4:32","182","191","1.09","0.0","5,834","No","00:07:02.1","4","00:31:17","00:44:36","461","522"
